ID_Auditoria,Fecha,Linea,Estacion,Direccion_Anomalia,Impacto_Pasajeros,Afluencia,Estatus_Investigacion,Hallazgo_Principal,Descripcion_Incidente,Link_Fuente_1,Link_Fuente_2,Observaciones
ANOM-94,2023-02-19 0:00:00,linea 1,balderas,Baja (Caída atípica),-8094,13428,Terminado,"Cierre Programado (Mantenimiento, remodelación)",remodelación linea 1,https://www.tvazteca.com/aztecanoticias/que-pasa-metro-cdmx-hoy-domingo-19-febrero-anl-capg,,
ANOM-63,2022-10-09 0:00:00,linea a,pantitlán,Baja (Caída atípica),-8195,20161,Terminado,"Evento Masivo (Concierto, partido, manifestación)",Diferentes manifestaciones tuvieron lugar en la ciudad,https://www.telediario.mx/comunidad/marchas-manifestaciones-cdmx-9-octubre-2022,,Diferentes manifestaciones en distintos puntos de la ciudad ocurrieron este dia lo que puede explicar la diferencia de afluencia
ANOM-81,2022-12-31 0:00:00,linea 9,chilpancingo,Baja (Caída atípica),-8317,15076,Terminado,Falla Oculta (No hay reporte oficial del incidente),No hay informacion ni reportes oficiales para explicar con certeza la baja de la afluencia,https://heraldodemexico.com.mx/nacional/2022/12/29/concierto-de-los-angeles-azules-afectaciones-alternativas-viales-por-el-evento-del-31-de-diciembre-469637.html,https://cultura.cdmx.gob.mx/comunicacion/nota/458-22,Aunque no hay información ni reportes oficiales puede que la baja afluencia sea dado a el evento masivo del concierto de los angeles azules en el centro de la ciudad
ANOM-370,2026-03-29 0:00:00,linea 12,insurgentes sur,Baja (Caída atípica),-8431,12986,Terminado,"Falla Mecánica (Tren averiado, puertas, desalojo)","cierre de estaciones de la linea 2, además retrasos en la linea 7 que conectan con esta estación","https://www.adn40.mx/ciudad/2026-03-29/metro-metrobus-cdmx-hoy-29-marzo-retrasos-cierres-rutas-afectadas/#:~:text=Este%20domingo%2029%20de%20marzo,y%20ajustes%20por%20actividades%20dominicales.",,
ANOM-219,2024-08-18 0:00:00,linea 9,velódromo,Baja (Caída atípica),-8597,23276,Terminado,Falla Oculta (No hay reporte oficial del incidente),no se reportaron incidentes ,,,
ANOM-282,2025-04-19 0:00:00,linea 2,chabacano,Baja (Caída atípica),-8711,12019,Terminado,Feriado No Oficial / Cultural,"operó bajo un horario especial de día festivo (Viernes Santo), iniciando servicio a las 7:00 de la mañana",,,
ANOM-169,2024-01-24 0:00:00,linea 3,miguel ángel de quevedo,Baja (Caída atípica),-8881,23639,Terminado,"Falla Mecánica (Tren averiado, puertas, desalojo)",Revision de un tren ,https://www.tvazteca.com/aztecanoticias/metro-cdmx-en-vivo-que-esta-hoy-miercoles-24-enero,,Retrasos en el servicio  por revisión de un tren de la ruta
ANOM-261,2024-12-25 0:00:00,linea 5,pantitlán,Baja (Caída atípica),-8911,20206,Terminado,Contingencia Ambiental,La CAMe informó que la contaminación derivada de la quema de pirotecnia y las fogatas que se realizan durante Nochebuena o Navidad puede activar una contingencia ambiental,https://www.nmas.com.mx/ciudad-de-mexico/reporte-de-calidad-del-aire-hoy-25-de-diciembre-2024-en-cdmx-y-zona-metropolitana-del-valle-de-mexico-posible-contingencia/,,
ANOM-99,2023-03-12 0:00:00,linea 1,balderas,Baja (Caída atípica),-8991,13511,Terminado,"Cierre Programado (Mantenimiento, remodelación)",por remodelación cerraron estaciones de esta linea a partir del 1 de marzo,https://www.infobae.com/mexico/2023/03/01/cuando-cerrara-el-tramo-balderas-observatorio-de-la-linea-1-del-metro/,,
ANOM-97,2023-03-05 0:00:00,linea 1,balderas,Baja (Caída atípica),-8998,13130,Terminado,"Cierre Programado (Mantenimiento, remodelación)",por remodelación cerraron estaciones de esta linea a partir del 1 de marzo,https://www.infobae.com/mexico/2023/03/01/cuando-cerrara-el-tramo-balderas-observatorio-de-la-linea-1-del-metro/,,
ANOM-188,2024-03-29 0:00:00,linea b,deportivo oceanía,Baja (Caída atípica),-9012,5134,Terminado,Falla Oculta (No hay reporte oficial del incidente),"fallas y retrasos en el servicio de HOY 29 de abril del 2024, principalmente en las Líneas A, 7 y B.a",https://www.milenio.com/politica/comunidad/metro-metrobus-cdmx-hoy-29-marzo-2024-ultimas-noticias-en-vivo-atm,,toda la linea b presentó fallas en esa fecha por reparaciones 
ANOM-264,2025-01-26 0:00:00,linea 12,insurgentes sur,Baja (Caída atípica),-9024,11721,Terminado,"Incidente Externo (Persona en vías, riña, salud)",en la estación no pasó nada pero en su conexión con la linea 3  a una persona se le cayó su celular,https://www.infobae.com/mexico/2026/01/26/metro-cdmx-y-metrobus-hoy-26-de-enero/,,"Un celular cayó a la zona de vías de la Línea 3 del Metro de la Ciudad de México, informó el transporte público capitalino."
ANOM-258,2024-12-24 0:00:00,linea 3,deportivo 18 de marzo,Baja (Caída atípica),-9166,15062,Terminado,Falsa Alarma (Se investigó y fue ruido normal),El metro opero con normalidad unicamente el servicio se cerró temprano,,,
ANOM-144,2023-11-02 0:00:00,linea 7,san joaquín,Baja (Caída atípica),-9175,16214,Terminado,"Evento Masivo (Concierto, partido, manifestación)",Evento Rodada del Terror ,https://www.infobae.com/mexico/2023/11/02/metro-y-metrobus-cdmx-hoy-noticias-retrasos-avances-y-fallas-en-las-lineas-este-2-de-noviembre/,,
ANOM-257,2024-12-24 0:00:00,linea 3,copilco,Baja (Caída atípica),-9281,12849,Terminado,Falsa Alarma (Se investigó y fue ruido normal),El metro opero con normalidad unicamente el servicio se cerró temprano,,,
ANOM-108,2023-04-07 0:00:00,linea 3,eugenia,Baja (Caída atípica),-9317,3514,Terminado,"Falla Técnica / Eléctrica (Cortocircuito, energía)",Falla electrica en uno de los trenes ,https://www.record.com.mx/historia/que-paso-hoy-7-de-abril-en-la-linea-3-del-metro-cdmx-usuarios-se-quejan-por-demora-de-trenes-2026040717080215906,,"Se presento una baja en estacion por falla electrica de un tren, haciendo una suposiciòn que esta estacion es cercana a una estaciòn del metrobus "
ANOM-271,2025-02-23 0:00:00,linea 2,cuatro caminos,Baja (Caída atípica),-9707,56725,Terminado,Falla Oculta (No hay reporte oficial del incidente),"no se reportaron incidentes, sin embargo la estacion presenta una cantidad muy baka de afluencia, casi 10 mil personas",,,
ANOM-80,2022-12-31 0:00:00,linea 2,chabacano,Baja (Caída atípica),-9773,9852,Terminado,Falla Oculta (No hay reporte oficial del incidente),No hay informacion ni reportes oficiales para explicar con certeza la baja de la afluencia,https://heraldodemexico.com.mx/nacional/2022/12/29/concierto-de-los-angeles-azules-afectaciones-alternativas-viales-por-el-evento-del-31-de-diciembre-469637.html,https://cultura.cdmx.gob.mx/comunicacion/nota/458-22,Aunque no hay información ni reportes oficiales puede que la baja afluencia sea dado a el evento masivo del concierto de los angeles azules en el centro de la ciudad
ANOM-103,2023-03-20 0:00:00,linea 1,balderas,Baja (Caída atípica),-9777,10830,Terminado,Feriado No Oficial / Cultural,Megapuente por el Natalicio de Benito Juarez ,https://www.tvazteca.com/aztecanoticias/metro-cdmx-que-pasa-hoy-domingo-19-marzo-2023,,Dia feriado por ser el 3er lunes del mes de marzo por el Natalicio de Benito Juarez aunque la fecha oficial es el 21 de marzo
ANOM-181,2024-03-28 0:00:00,linea 2,revolución,Baja (Caída atípica),-9840,18003,Terminado,Feriado No Oficial / Cultural,Jueves santo la estación tuvo horario festivo empezando a operar 2 horas mas tarde,https://www.publimetro.com.mx/noticias/2024/03/28/metro-cdmx-molesta-a-usuarios-horario-especial-en-jueves-santo/,,Com la estación por ser jueves santo empezó a operar 2 horas mas tarde perdió afluencia
ANOM-192,2024-03-30 0:00:00,linea 2,chabacano,Baja (Caída atípica),-10021,10706,Terminado,Feriado No Oficial / Cultural,Sabado de gloria,,,
ANOM-120,2023-06-11 0:00:00,linea 1,insurgentes,Baja (Caída atípica),-10031,12961,Terminado,"Cierre Programado (Mantenimiento, remodelación)",Cierre programado por mantenimiento ,https://www.tvazteca.com/aztecanoticias/metro-cdmx-en-vivo-que-pasa-hoy-domingo-11-junio-2023,,Cierre de estacion por mantenimiento 
ANOM-107,2023-04-06 0:00:00,linea 1,observatorio,Baja (Caída atípica),-10037,25411,Terminado,Feriado No Oficial / Cultural,Jueves Santo ,https://www.tvazteca.com/aztecanoticias/que-pasa-metro-cdmx-hoy-jueves-6-abril-2023,,Inicio de festividades jueves santo 
ANOM-173,2024-02-27 0:00:00,linea 3,coyoacán,Baja (Caída atípica),-10836,16391,Terminado,"Falla Técnica / Eléctrica (Cortocircuito, energía)",Corte de energia en la estacion Zapata,https://www.tvazteca.com/aztecanoticias/metro-cdmx-en-vivo-que-pasa-hoy-martes-27-febrero-2024,,Corte de energia ademas de maniobras efectuadas para recuperar un celular en las vias 
